snoring_range,respitory_range,temperature,limb_movement_rate,oxygen_in_blood,rapid_eye_movement,number_of_hours_of_sleep,heart_rate,stress_level,Date/Time (EST),sr_with_trend
52.72,18.544,94.544,8.544,92.816,81.36,5.544,56.36,1.0,2011-01-21 07:00:00,129.98550079491258
82.16,22.576,90.288,12.72,88.288,95.72,0.288,66.44,3.0,2011-01-21 08:00:00,159.58448330683626
63.04,20.304,92.304,10.304,90.304,86.52,2.456,60.76,2.0,2011-01-21 09:00:00,140.62346581875994
99.232,29.232,89.04,18.616,86.848,104.04,0.0,83.08,4.0,2011-01-21 10:00:00,176.97444833068363
63.84,20.384,92.384,10.384,90.384,86.92,2.576,60.96,2.0,2011-01-21 11:00:00,141.74143084260731
99.424,29.424,89.28,18.712,87.136,104.28,0.0,83.56,4.0,2011-01-21 12:00:00,177.484413354531
60.64,20.064,92.064,10.064,90.064,85.32,2.096,60.16,2.0,2011-01-21 13:00:00,138.8593958664547
59.2,19.84,95.84,9.84,94.76,84.6,6.84,59.6,1.0,2011-01-21 14:00:00,137.57837837837837
89.72,24.592,91.296,15.24,89.296,98.24,1.296,71.48,3.0,2011-01-21 15:00:00,168.2573608903021
46.56,16.624,96.936,5.248,95.624,66.24,7.624,51.56,0.0,2011-01-21 16:00:00,125.25634340222575
50.08,18.016,94.016,8.016,92.024,80.04,5.016,55.04,1.0,2011-01-21 17:00:00,128.93532591414944
49.16,17.664,98.496,7.328,96.664,76.64,8.664,54.16,0.0,2011-01-21 18:00:00,128.17430842607314
46.88,16.752,97.128,5.504,95.752,67.52,7.752,51.88,0.0,2011-01-21 19:00:00,126.05329093799682
83.72,22.992,90.496,13.24,88.496,96.24,0.496,67.48,3.0,2011-01-21 20:00:00,163.0522734499205
63.52,20.352,92.352,10.352,90.352,86.76,2.528,60.88,2.0,2011-01-21 21:00:00,143.0112559618442
96.128,26.128,85.16,17.064,82.192,100.16,0.0,75.32,4.0,2011-01-21 22:00:00,175.77823847376789
80.48,22.128,90.064,12.16,88.064,95.16,0.064,65.32,3.0,2011-01-21 23:00:00,160.2892209856916
45.8,16.32,96.48,4.64,95.32,63.2,7.32,50.8,0.0,2011-01-22 00:00:00,125.76820349761526
47.16,16.864,97.296,5.728,95.864,68.64,7.864,52.16,0.0,2011-01-22 01:00:00,127.28718600953896
99.264,29.264,89.08,18.632,86.896,104.08,0.0,83.16,4.0,2011-01-22 02:00:00,179.55016852146264
60.32,20.032,92.032,10.032,90.032,85.16,2.048,60.08,2.0,2011-01-22 03:00:00,140.76515103338633
96.224,26.224,85.28,17.112,82.336,100.28,0.0,75.56,4.0,2011-01-22 04:00:00,176.82813354531004
99.008,29.008,88.76,18.504,86.512,103.76,0.0,82.52,4.0,2011-01-22 05:00:00,179.7711160572337
50.88,18.176,94.176,8.176,92.264,80.44,5.176,55.44,1.0,2011-01-22 06:00:00,131.8020985691574
78.24,21.824,93.824,11.824,91.824,94.12,4.736,64.56,2.0,2011-01-22 07:00:00,159.32108108108108
89.24,24.464,91.232,15.08,89.232,98.08,1.232,71.16,3.0,2011-01-22 08:00:00,170.4800635930048
47.92,17.168,97.752,6.336,96.168,71.68,8.168,52.92,0.0,2011-01-22 09:00:00,129.31904610492847
51.68,18.336,94.336,8.336,92.504,80.84,5.336,55.84,1.0,2011-01-22 10:00:00,133.23802861685215
46.48,16.592,96.888,5.184,95.592,65.92,7.592,51.48,0.0,2011-01-22 11:00:00,128.19701112877584
82.04,22.544,90.272,12.68,88.272,95.68,0.272,66.36,3.0,2011-01-22 12:00:00,163.91599364069953
49.64,17.856,98.784,7.712,96.856,78.56,8.856,54.64,0.0,2011-01-22 13:00:00,131.67497615262323
46.72,16.688,97.032,5.376,95.688,66.88,7.688,51.72,0.0,2011-01-22 14:00:00,128.9139586645469
67.52,20.752,92.752,10.752,90.752,88.76,3.128,61.88,2.0,2011-01-22 15:00:00,149.8729411764706
53.28,18.656,94.656,8.656,92.984,81.64,5.656,56.64,1.0,2011-01-22 16:00:00,135.7919236883943
45.76,16.304,96.456,4.608,95.304,63.04,7.304,50.76,0.0,2011-01-22 17:00:00,128.43090620031796
46.4,16.56,96.84,5.12,95.56,65.6,7.56,51.4,0.0,2011-01-22 18:00:00,129.22988871224166
99.52,29.52,89.4,18.76,87.28,104.4,0.0,83.8,4.0,2011-01-22 19:00:00,182.50887122416535
46.44,16.576,96.864,5.152,95.576,65.76,7.576,51.44,0.0,2011-01-22 20:00:00,129.58785373608902
99.2,29.2,89.0,18.6,86.8,104.0,0.0,83.0,4.0,2011-01-22 21:00:00,182.50683624801275
53.84,18.768,94.768,8.768,93.152,81.92,5.768,56.92,1.0,2011-01-22 22:00:00,137.30581875993641
79.52,21.952,93.952,11.952,91.952,94.76,4.928,64.88,2.0,2011-01-22 23:00:00,163.1448012718601
96.544,26.544,85.68,17.272,82.816,100.68,0.0,76.36,4.0,2011-01-23 00:00:00,180.3277837837838
80.6,22.16,90.08,12.2,88.08,95.2,0.08,65.4,3.0,2011-01-23 01:00:00,164.54276629570748
79.68,21.968,93.968,11.968,91.968,94.84,4.952,64.92,2.0,2011-01-23 02:00:00,163.78174880763117
98.944,28.944,88.68,18.472,86.416,103.68,0.0,82.36,4.0,2011-01-23 03:00:00,183.20473131955487
47.6,17.04,97.56,6.08,96.04,70.4,8.04,52.6,0.0,2011-01-23 04:00:00,132.01971383147853
81.68,22.448,90.224,12.56,88.224,95.56,0.224,66.12,3.0,2011-01-23 05:00:00,166.25869634340222
59.92,19.984,95.984,9.984,94.976,84.96,6.984,59.96,1.0,2011-01-23 06:00:00,144.6576788553259
48.96,17.584,98.376,7.168,96.584,75.84,8.584,53.96,0.0,2011-01-23 07:00:00,133.85666136724961
48.16,17.264,97.896,6.528,96.264,72.64,8.264,53.16,0.0,2011-01-23 08:00:00,133.21564387917329
58.4,19.68,95.68,9.68,94.52,84.2,6.68,59.2,1.0,2011-01-23 09:00:00,143.61462639109698
97.728,27.728,87.16,17.864,84.592,102.16,0.0,79.32,4.0,2011-01-23 10:00:00,183.10160890302066
70.24,21.024,93.024,11.024,91.024,90.12,3.536,62.56,2.0,2011-01-23 11:00:00,155.77259141494437
85.28,23.408,90.704,13.76,88.704,96.76,0.704,68.52,3.0,2011-01-23 12:00:00,170.97157392686805
46.32,16.528,96.792,5.056,95.528,65.28,7.528,51.32,0.0,2011-01-23 13:00:00,132.17055643879175
54.48,18.896,94.896,8.896,93.344,82.24,5.896,57.24,1.0,2011-01-23 14:00:00,140.48953895071543
87.68,24.048,91.024,14.56,89.024,97.56,1.024,70.12,3.0,2011-01-23 15:00:00,173.84852146263913
99.296,29.296,89.12,18.648,86.944,104.12,0.0,83.24,4.0,2011-01-23 16:00:00,185.62350397456282
80.24,22.064,90.032,12.08,88.032,95.08,0.032,65.16,3.0,2011-01-23 17:00:00,166.72648648648646
98.816,28.816,88.52,18.408,86.224,103.52,0.0,82.04,4.0,2011-01-23 18:00:00,185.46146899841017
64.48,20.448,92.448,10.448,90.448,87.24,2.672,61.12,2.0,2011-01-23 19:00:00,151.28445151033387
99.648,29.648,89.56,18.824,87.472,104.56,0.0,84.12,4.0,2011-01-23 20:00:00,186.61143402225755
64.96,20.496,92.496,10.496,90.496,87.48,2.744,61.24,2.0,2011-01-23 21:00:00,152.08241653418122
82.64,22.704,90.352,12.88,88.352,95.88,0.352,66.76,3.0,2011-01-23 22:00:00,169.92139904610494
46.52,16.608,96.912,5.216,95.608,66.08,7.608,51.52,0.0,2011-01-23 23:00:00,133.96038155802862
91.88,25.168,91.584,15.96,89.584,98.96,1.584,72.92,3.0,2011-01-24 00:00:00,179.4793640699523
64.8,20.48,92.48,10.48,90.48,87.4,2.72,61.2,2.0,2011-01-24 01:00:00,152.55834658187598
49.04,17.616,98.424,7.232,96.616,76.16,8.616,54.04,0.0,2011-01-24 02:00:00,136.9573290937997
75.04,21.504,93.504,11.504,91.504,92.52,4.256,63.76,2.0,2011-01-24 03:00:00,163.11631160572338
87.08,23.888,90.944,14.36,88.944,97.36,0.944,69.72,3.0,2011-01-24 04:00:00,175.31529411764706
76.64,21.664,93.664,11.664,91.664,93.32,4.496,64.16,2.0,2011-01-24 05:00:00,165.03427662957074
85.88,23.568,90.784,13.96,88.784,96.96,0.784,68.92,3.0,2011-01-24 06:00:00,174.43325914149443
99.488,29.488,89.36,18.744,87.232,104.36,0.0,83.72,4.0,2011-01-24 07:00:00,188.20024165341812
51.44,18.288,94.288,8.288,92.432,80.72,5.288,55.72,1.0,2011-01-24 08:00:00,140.31122416534183
58.0,19.6,95.6,9.6,94.4,84.0,6.6,59.0,1.0,2011-01-24 09:00:00,147.0302066772655
49.48,17.792,98.688,7.584,96.792,77.92,8.792,54.48,0.0,2011-01-24 10:00:00,138.66918918918918
70.4,21.04,93.04,11.04,91.04,90.2,3.56,62.6,2.0,2011-01-24 11:00:00,159.74817170111288
72.96,21.296,93.296,11.296,91.296,91.48,3.944,63.24,2.0,2011-01-24 12:00:00,162.46715421303657
94.4,25.84,91.92,16.8,89.92,99.8,1.92,74.6,3.0,2011-01-24 13:00:00,184.06613672496024
54.72,18.944,94.944,8.944,93.416,82.36,5.944,57.36,1.0,2011-01-24 14:00:00,144.54511923688395
80.84,22.224,90.112,12.28,88.112,95.28,0.112,65.56,3.0,2011-01-24 15:00:00,170.82410174880764
94.64,25.904,91.952,16.88,89.952,99.88,1.952,74.76,3.0,2011-01-24 16:00:00,184.7830842607313
91.52,25.072,91.536,15.84,89.536,98.84,1.536,72.68,3.0,2011-01-24 17:00:00,181.822066772655
97.6,27.6,87.0,17.8,84.4,102.0,0.0,79.0,4.0,2011-01-24 18:00:00,188.0610492845787
99.84,29.84,89.8,18.92,87.76,104.8,0.0,84.6,4.0,2011-01-24 19:00:00,190.4600317965024
85.52,23.472,90.736,13.84,88.736,96.84,0.736,68.68,3.0,2011-01-24 20:00:00,176.29901430842608
54.16,18.832,94.832,8.832,93.248,82.08,5.832,57.08,1.0,2011-01-24 21:00:00,145.09799682034975
55.36,19.072,95.072,9.072,93.608,82.68,6.072,57.68,1.0,2011-01-24 22:00:00,146.45697933227345
46.16,16.464,96.696,4.928,95.464,64.64,7.464,51.16,0.0,2011-01-24 23:00:00,137.41596184419714
96.416,26.416,85.52,17.208,82.624,100.52,0.0,76.04,4.0,2011-01-25 00:00:00,187.83094435612082
86.0,23.6,90.8,14.0,88.8,97.0,0.8,69.0,3.0,2011-01-25 01:00:00,177.5739268680445
79.84,21.984,93.984,11.984,91.984,94.92,4.976,64.96,2.0,2011-01-25 02:00:00,171.57290937996822
90.8,24.88,91.44,15.6,89.44,98.6,1.44,72.2,3.0,2011-01-25 03:00:00,182.69189189189188
96.352,26.352,85.44,17.176,82.528,100.44,0.0,75.88,4.0,2011-01-25 04:00:00,188.4028744038156
55.6,19.12,95.12,9.12,93.68,82.8,6.12,57.8,1.0,2011-01-25 05:00:00,147.8098569157393
72.0,21.2,93.2,11.2,91.2,91.0,3.8,63.0,2.0,2011-01-25 06:00:00,164.36883942766298
84.56,23.216,90.608,13.52,88.608,96.52,0.608,68.04,3.0,2011-01-25 07:00:00,177.08782193958666
59.76,19.952,95.952,9.952,94.928,84.88,6.952,59.88,1.0,2011-01-25 08:00:00,152.44680445151033
83.0,22.8,90.4,13.0,88.4,96.0,0.4,67.0,3.0,2011-01-25 09:00:00,175.84578696343402
74.24,21.424,93.424,11.424,91.424,92.12,4.136,63.56,2.0,2011-01-25 10:00:00,167.2447694753577
45.24,16.096,96.144,4.192,95.096,60.96,7.096,50.24,0.0,2011-01-25 11:00:00,138.4037519872814
49.44,17.776,98.664,7.552,96.776,77.76,8.776,54.44,0.0,2011-01-25 12:00:00,142.7627344992051
66.72,20.672,92.672,10.672,90.672,88.36,3.008,61.68,2.0,2011-01-25 13:00:00,160.20171701112878
54.0,18.8,94.8,8.8,93.2,82.0,5.8,57.0,1.0,2011-01-25 14:00:00,147.6406995230525
94.52,25.872,91.936,16.84,89.936,99.84,1.936,74.68,3.0,2011-01-25 15:00:00,188.31968203497615
47.56,17.024,97.536,6.048,96.024,70.24,8.024,52.56,0.0,2011-01-25 16:00:00,141.51866454689986
47.64,17.056,97.584,6.112,96.056,70.56,8.056,52.64,0.0,2011-01-25 17:00:00,141.75764705882352
47.48,16.992,97.488,5.984,95.992,69.92,7.992,52.48,0.0,2011-01-25 18:00:00,141.75662957074724
97.12,27.12,86.4,17.56,83.68,101.4,0.0,77.8,4.0,2011-01-25 19:00:00,191.5556120826709
69.28,20.928,92.928,10.928,90.928,89.64,3.392,62.32,2.0,2011-01-25 20:00:00,163.8745945945946
98.976,28.976,88.72,18.488,86.464,103.72,0.0,82.44,4.0,2011-01-25 21:00:00,193.7295771065183
45.64,16.256,96.384,4.512,95.256,62.56,7.256,50.64,0.0,2011-01-25 22:00:00,140.552559618442
99.104,29.104,88.88,18.552,86.656,103.88,0.0,82.76,4.0,2011-01-25 23:00:00,194.17554213036567
99.328,29.328,89.16,18.664,86.992,104.16,0.0,83.32,4.0,2011-01-26 00:00:00,194.55852464228934
93.56,25.616,91.808,16.52,89.808,99.52,1.808,74.04,3.0,2011-01-26 01:00:00,188.94950715421305
57.76,19.552,95.552,9.552,94.328,83.88,6.552,58.88,1.0,2011-01-26 02:00:00,153.30848966613672
56.96,19.392,95.392,9.392,94.088,83.48,6.392,58.48,1.0,2011-01-26 03:00:00,152.66747217806042
55.84,19.168,95.168,9.168,93.752,82.92,6.168,57.92,1.0,2011-01-26 04:00:00,151.70645468998413
48.32,17.328,97.992,6.656,96.328,73.28,8.328,53.32,0.0,2011-01-26 05:00:00,144.3454372019078
94.04,25.744,91.872,16.68,89.872,99.68,1.872,74.36,3.0,2011-01-26 06:00:00,190.22441971383148
97.76,27.76,87.2,17.88,84.64,102.2,0.0,79.4,4.0,2011-01-26 07:00:00,194.1034022257552
67.2,20.72,92.72,10.72,90.72,88.6,3.08,61.8,2.0,2011-01-26 08:00:00,163.70238473767887
57.84,19.568,95.568,9.568,94.352,83.92,6.568,58.92,1.0,2011-01-26 09:00:00,154.50136724960254
54.64,18.928,94.928,8.928,93.392,82.32,5.928,57.32,1.0,2011-01-26 10:00:00,151.46034976152623
93.68,25.648,91.824,16.56,89.824,99.56,1.824,74.12,3.0,2011-01-26 11:00:00,190.65933227344993
98.592,28.592,88.24,18.296,85.888,103.24,0.0,81.48,4.0,2011-01-26 12:00:00,195.7303147853736
88.88,24.368,91.184,14.96,89.184,97.96,1.184,70.92,3.0,2011-01-26 13:00:00,186.1772972972973
73.6,21.36,93.36,11.36,91.36,91.8,4.04,63.4,2.0,2011-01-26 14:00:00,171.056279809221
62.4,20.24,92.24,10.24,90.24,86.2,2.36,60.6,2.0,2011-01-26 15:00:00,160.0152623211447
82.88,22.768,90.384,12.96,88.384,95.96,0.384,66.92,3.0,2011-01-26 16:00:00,180.65424483306836
59.04,19.808,95.808,9.808,94.712,84.52,6.808,59.52,1.0,2011-01-26 17:00:00,156.97322734499207
71.68,21.168,93.168,11.168,91.168,90.84,3.752,62.92,2.0,2011-01-26 18:00:00,169.77220985691577
48.4,17.36,98.04,6.72,96.36,73.6,8.36,53.4,0.0,2011-01-26 19:00:00,146.65119236883945
46.08,16.432,96.648,4.864,95.432,64.32,7.432,51.08,0.0,2011-01-26 20:00:00,144.4901748807631
97.024,27.024,86.28,17.512,83.536,101.28,0.0,77.56,4.0,2011-01-26 21:00:00,195.5931573926868
53.2,18.64,94.64,8.64,92.96,81.6,5.64,56.6,1.0,2011-01-26 22:00:00,151.9281399046105
65.44,20.544,92.544,10.544,90.544,87.72,2.816,61.36,2.0,2011-01-26 23:00:00,164.3271224165342
98.144,28.144,87.68,18.072,85.216,102.68,0.0,80.36,4.0,2011-01-27 00:00:00,197.19010492845788
58.8,19.76,95.76,9.76,94.64,84.4,6.76,59.4,1.0,2011-01-27 01:00:00,158.00508744038154
69.6,20.96,92.96,10.96,90.96,89.8,3.44,62.4,2.0,2011-01-27 02:00:00,168.96406995230524
48.44,17.376,98.064,6.752,96.376,73.76,8.376,53.44,0.0,2011-01-27 03:00:00,147.96305246422895
97.504,27.504,86.88,17.752,84.256,101.88,0.0,78.76,4.0,2011-01-27 04:00:00,197.18603497615265
58.64,19.728,95.728,9.728,94.592,84.32,6.728,59.32,1.0,2011-01-27 05:00:00,158.4810174880763
73.92,21.392,93.392,11.392,91.392,91.96,4.088,63.48,2.0,2011-01-27 06:00:00,173.92000000000002
